uid	data_type	xy_type	school	student_id	course_name	group	test_type	question_id	slide_id	correctness	student_answer	correct_answer	question_content	course_content
f505432a-2d3b-4b71-8874-36c5f98e8b02	train	past	elementary school	u1	9	group 1	post test	4	6	1	No	No	Is the accuracy of 95% enough for voice recognition? <please input your answer>	Recognition Accuracy. We first need a system to recognize speech when creating a voice-controlled personal assistant. The accuracy of speech recognition is very demanding. 95% is not good. 99% is good. A picture of The Telephone Game to show the importance of speech recongition accuracy.
535806f0-71f1-44f8-b98a-5cc93fd3b2a0	train	past	elementary school	u1	9	group 1	post test	3	4	1	A microphone	Linguistic analysis / Database / Web content retrieval	Please cite a component of voice-controlled assistant that it needs for normal work. <please input your answer>	How Do Voice-Controlled Personal Assistants Work? AI is behind those responses, tackling the very difficult tasks of understanding your speech, judging how to respond, and acting or answering using a natural-sounding voice. Voice recognition. Linguistic analysis. Conversational control. Database. Web content retrieval. A picture of a personal assistant.
07bf302c-cf23-4fc3-9ce0-088a252455b2	test	past	elementary school	u1	9	group 1	post test	2	20	1	Speech generation	Speech generation	What is the last main component of a virtual assistant? <please input your answer>	Voice Synthesis. Voice Synthesis is the final stage of a voice-controlled personal assistant. Speech synthesis is accomplished using an RNN that converts a series of linguistic sounds into a series of spectrum. A picture of chat history of a human with a bot.
a1dda264-6a79-4da4-b6fb-953168bbbb43	train	future	elementary school	u1	9	group 1	post test	7	14	0	forgot	A loop	What does an RNN have that a simple three-layer neural network doesn’t have? <please input your answer>	Recurrent Neural Network. The network is called a Recurrent Neural Network (RNN) because it has a loop in the connection to feed the previous activations back to the input. This network receives one word at a time and is trained to generate an output each time using supervised learning with additional 'desired outputs'. Another usage: They can also be trained to represent phrases and sentences. A picture of RNN.
efe65d55-5b8f-4116-af9f-bec4edfd2dd6	train	future	elementary school	u1	9	group 1	post test	6	11	1	(0,0,1,0,1)	(0,0,1,0,1)	Take five words {Cats, Dogs, bark, meow, eat} Take three sentences, “Dogs bark” “Cats eat” “Dogs eat” How to express the words after the “Dogs”? <please input your answer>	Words Representation. Method: finding out how often the word appears after which words and before which words by going through a huge data set. E.g. Words: {Cats, Dogs, Bark, Meow, Eat}. Phrases: {'Cats meow,' 'Dogs bark,' 'Cats eat,' 'Dogs eat'}. Result:'Cats' is often before 'meow' and 'eat', which can be expressed as (0,0,0,1,1). 'Cats' doesn’t often appear after any words, which can be expressed as (0,0,0,0,0). 'Cat” = (0,0,0,0,0, 0,0,0,1,1). A picture of a word cloud. A picture breaking down the grammar of an English sentence.
cfee5260-0fe3-4a54-9598-80c5e46dcb54	train	future	elementary school	u1	9	group 1	post test	9	22	0	forgot	Long Short-Term Memory	What does LSTM stand for? <please input your answer>	Q&A. Lecture 9.
5f32aaf0-d89f-46fe-92e5-1bdac52d715a	test	future	elementary school	u1	9	group 1	post test	10	22	0	forgot	The input, the short-term memory, and the output	Compared to regular RNN, LSTM has better control over its three components. What are they? <please input your answer>	Q&A. Lecture 9.
98e47f99-8043-4a12-84de-81eee80552b3	train	past	elementary school	u1	9	group 1	post test	5	10	0	I forgot	Assigning different neurons to different words	How are the words represented in an ANN? <please input your answer>	How Should the Words be Represented in an ANN? Question: Why not type the words into a computer as a string of the alphabet for input? Assigning different neurons to different words. Then, add more information relating to each word: Represent a word with a group of words the original word is often used with. E.g. 'Cats' with 'meow' 'walk'. A picture of word cloud. A picture of a word connected to other words that it is related to.
d6e32592-7406-4495-9c64-f8183984260a	train	future	elementary school	u1	9	group 1	post test	8	15	0	forgot	Unfolding	What should we do when we want to train an RNN? <please input your answer>	Training an RNN. Training an RNN by using backpropagation is more complicated than training an ANN with no loops. Unfolding: The loops are removed by duplicating parts of the neural network whenever they represent different parts of the sentence. After unfolding, we can train the RNN the way we train ANNs without loops. A picture illustrating the concept of unfolding.
240a60df-3ba5-4dcd-8147-56106cae9930	train	past	elementary school	u1	9	group 1	post test	1	4	1	Speech recognition	Speech recognition	What is the first main component of a virtual assistant? <please input your answer>	How Do Voice-Controlled Personal Assistants Work? AI is behind those responses, tackling the very difficult tasks of understanding your speech, judging how to respond, and acting or answering using a natural-sounding voice. Voice recognition. Linguistic analysis. Conversational control. Database. Web content retrieval. A picture of a personal assistant.
